RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
RT sosViaUpdates KFC tweeted Ashton haha I guess they miss him TheyreTheOne SecondsOfSummer radiodisney,Neutral,Satisfied,Unspecified
RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
Kfc is the best food Ive ever had,Slightly Positive,Satisfied,Unspecified
RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
Really fancy a KFC,Slightly Positive,Satisfied,Unspecified
I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes Enter and I may even get a bonus entry thx See Rules httpstcohaPfbFTWFl,Highly Positive,Happy,Unspecified
RT SOSTumblrx Did you know that ashton used to work at KFC before he joined a band smirks SecondsOfSummer TheyreTheOne radiodisney,Neutral,Satisfied,Unspecified
RT thesosdonut me in the futureson mommy please read me a bedtime storyme once upon a time ashton irwin wore a purple shirt and wo,Neutral,Satisfied,Unspecified
RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
Why KFC isnt open for hrs,Slightly Positive,Satisfied,Unspecified
RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
PaigeAllannn i want a kfc but u patched me lt,Slightly Positive,Satisfied,Unspecified
The conversation immediately preceding the launch of KFC in Trinidad amp Tobago waaaayyyup httpstcoAeUuTjCmn,Neutral,Satisfied,Unspecified
RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
Could demolish a KFC right now,Slightly Positive,Satisfied,Unspecified
RT jilllianwhite ashton amp his kfc smh httptcocJfriLaikZ,Neutral,Satisfied,Unspecified
RT TheIrwinAffair Ashtons probably written a song about his times in KFC and being fired from the DVD shop lol SecondsOfSummer Theyr,Slightly Positive,Satisfied,Unspecified
RT SOSTumblrx Ashton dont have long speechesDid u know he used to work at KFCTheyreTheOne SecondsOfSummer radiodisney http,Neutral,Satisfied,Unspecified
RT TheIrwinAffair Ashtons probably written a song about his times in KFC and being fired from the DVD shop lol SecondsOfSummer Theyr,Slightly Positive,Satisfied,Unspecified
RT maudyayunda Its officially launched My second Album Moments Terimakasih Allah SWT trinityoptimap KFC httpstcoemwQdhR,Neutral,Satisfied,Unspecified
RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
RT SOSTumblrx Did you know that ashton used to work at KFC before he joined a band smirks SecondsOfSummer TheyreTheOne radiodisney,Neutral,Satisfied,Unspecified
RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
RT TheIrwinAffair Ashtons probably written a song about his times in KFC and being fired from the DVD shop lol SecondsOfSummer Theyr,Slightly Positive,Satisfied,Unspecified
RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
So I just found thisapparently Ashton and KFC have a special bond  httptcohlHjQUd,Neutral,Happy,Unspecified
RT TheIrwinAffair Ive heard Ashtons KFC story more times than my parents story of how they met SecondsOfSummer TheyreTheOne radiod,Neutral,Satisfied,Unspecified
RT lukenesium Ashton at KFC This is pretty accuratecool SecondsOfSummer radiodisney httptcoeUEZzMWfN,Neutral,Satisfied,Unspecified
wants to get fit and healthyOh hey chocolateOh hey pizzaOh hey KFC,Slightly Positive,Happy,Unspecified
Today will be the busiest day at kfc amp I have to do a double ,Neutral,Satisfied,Unspecified
WHEN YOU ASK A BLACK GUY IF HE WANTS KFC httpstcoBkbEWGuWZ,Neutral,Satisfied,Unspecified
RT AshtonSOS KFC EMPLOYEE lol This is what I did before sos  xx httptcoYYYxkmKPB,Neutral,Satisfied,Unspecified
KFC man asked me if I wanted a balloon excuse me do I look like a child to u I said yes I am a child,Neutral,Satisfied,Unspecified
I want KFC ,Slightly Positive,Satisfied,Unspecified
squizzruss the KFC is closing down yano ,Neutral,Satisfied,Unspecified
RT SOSDaily have any of you heard the story about Ashton working at KFC SecondsOfSummer cool radiodisney sos httptcolKzMc,Neutral,Satisfied,Unspecified
 need this kfc,Neutral,Satisfied,Unspecified
KFC has a note for me  httptcolyUpEJhZI,Slightly Positive,Satisfied,Unspecified
RT AshtonSOS KFC EMPLOYEE lol This is what I did before sos  xx httptcoYYYxkmKPB,Neutral,Satisfied,Unspecified
Kfc tonight,Slightly Positive,Satisfied,Unspecified
RT ImNeverChillin KFC Drive ThruMe Lemme get a  piece originalCashier and your sideMe Nah she good fam she just ate,Slightly Positive,Satisfied,Unspecified
RT KPTrill FUCK ALL U RACISTS ASS KENTUCKY FANS FUCK KFC AND THAT WACK ASS CHICKEN IM NO KENTUCKY FAN MemphisTigers,Slightly Negative,Satisfied,Unspecified
Thanks my brother  KFC Kambang Iwak httpstcorWrBwNvZ,Slightly Positive,Satisfied,Unspecified
Im at KFC  kfcturkiye in Samsun httptcouxwnUddgIb,Neutral,Satisfied,Unspecified
ihcorleone lol Im mad she said she met him behind KFC  but Im just laying here U,Slightly Positive,Happy,Unspecified
RT oshselu Please eat at Kais Fried Chicken aka KFC httptcokfMPzzEP,Neutral,Satisfied,Unspecified
RT MuslimHandjobi muayfarang MailOnline these chickens burned themselves it was an inside job by Tyson and KFC AllahhuReptar http,Neutral,Dissatisfied,Unspecified
RT sosTumblr Ashton at the birth of his childDoctor would u like to cut the umbilical cord ash yes omg You know  years ago i ,Neutral,Satisfied,Unspecified
RT nswincidents NSW Fire and Rescue crews are on scene at the Lake Haven KFC restaurant httptcopVvkBVsDQN,Neutral,Satisfied,Unspecified
once in kfc a girl said lewis instead of louis and i threw a chip at her and her dad said where did that come from like thats right bitch,Slightly Positive,Satisfied,Unspecified
MadeOfDoncaster  QUESTION ABOUT U  KFC OU MACDO macdo,Slightly Positive,Satisfied,Unspecified
RT SOSDaily have any of you heard the story about Ashton working at KFC SecondsOfSummer cool radiodisney sos httptcolKzMc,Neutral,Satisfied,Unspecified
KFCUKI open today,Slightly Positive,Satisfied,Unspecified
Unilag olosho tho RTKvngBRAINARD To get any UNILAG babe just hold an Empty KFC nylon,Neutral,Satisfied,Unspecified
RT Zancino I want KFC,Slightly Positive,Satisfied,Unspecified
RT KvngBRAINARD To get any UNILAG babe just hold an Empty KFC nylon,Slightly Positive,Satisfied,Unspecified
i went jamaican shop to get chicken strips amp dumplings fam i should have gone kfc there is noo way i can call what hes given me chicken,Neutral,Satisfied,Unspecified
RT AshtonSOS KFC EMPLOYEE lol This is what I did before sos  xx httptcoYYYxkmKPB,Neutral,Satisfied,Unspecified
blabla RT Masyakepo SavePointBlankIND kfcwarteg,Neutral,Satisfied,Unspecified
Leanne has already ate a whole KFC bargain bucket and were going out for dinner later ,Slightly Positive,Satisfied,Unspecified
RT AshtonSOS KFC EMPLOYEE lol This is what I did before sos  xx httptcoYYYxkmKPB,Neutral,Satisfied,Unspecified
Thanks God for today Party time Well Done guys KPRGKIGresik w Priliana Bram amp  others at KFC  httpstcowYLUQHKxi,Slightly Positive,Satisfied,Unspecified
HBDAkbarKusumath KFC or McD ,Neutral,Satisfied,Unspecified
Im full up on kfc Thank the Lord x,Neutral,Satisfied,Unspecified
 QUESTION ABOUT U  KFC OU MACDO ,Slightly Positive,Satisfied,Unspecified
TheBasedChapo man how good would  kfc nuggets be atmExpensive probably Budget,Slightly Positive,Satisfied,Unspecified
RT AshtonSOS KFC EMPLOYEE lol This is what I did before sos  xx httptcoYYYxkmKPB,Neutral,Satisfied,Unspecified
Kfc is on my mind,Neutral,Satisfied,Unspecified
I played the KFC Fillet Gourmet Memory challenge enter the draw to win an iPhone GOLD httptcoPAOBaZSYaE httptcoToEEqv,Slightly Positive,Satisfied,Unspecified
Really want a kfc,Slightly Positive,Satisfied,Unspecified
RT Zancino I want KFC,Slightly Positive,Satisfied,Unspecified
NO ONE COME TO TACO BELL KFC TODAY I WANT A EASY DAY,Slightly Positive,Satisfied,Unspecified
RT SOSDaily have any of you heard the story about Ashton working at KFC SecondsOfSummer cool radiodisney sos httptcolKzMc,Neutral,Satisfied,Unspecified
I liked a YouTube video from comedygamer httptcorNxMpwxVH Eating  Pieces Of KFC Chicken,Slightly Positive,Satisfied,Unspecified
ImNeverChillin KFC Drive ThruMe Lemme get a  piece originalCashier and your sideMe Nah she good fam she just ate,Slightly Positive,Satisfied,Unspecified
RT BoukieTV Everyone else is getting chocolate eggs for Easter And then theres me going to KFC ,Slightly Positive,Satisfied,Unspecified
RT KvngBRAINARD To get any UNILAG babe just hold an Empty KFC nylon,Slightly Positive,Satisfied,Unspecified
RT ImNeverChillin KFC Drive ThruMe Lemme get a  piece originalCashier and your sideMe Nah she good fam she just ate,Slightly Positive,Satisfied,Unspecified
man how good would  kfc nuggets be atm,Slightly Positive,Satisfied,Unspecified
RT SOSDaily have any of you heard the story about Ashton working at KFC SecondsOfSummer cool radiodisney sos httptcolKzMc,Neutral,Satisfied,Unspecified
RT sourymellions Did you know Ashton worked at KFC  years agoSecondsOfSummer TheyreTheOne radiodisney httptcoDHwsaKacPl,Neutral,Satisfied,Unspecified
Could really do with a kfc right now,Slightly Positive,Satisfied,Unspecified
RT yelyahkewei Craving for KFC,Slightly Positive,Satisfied,Unspecified
Maybe that KFC wasnt such a good idea,Neutral,Satisfied,Unspecified
ad KFC Popcorn Nuggets are great for on the go or as a side KFCPopcornNuggets BH httptcoCWHwSyT,Neutral,Satisfied,Unspecified
RT Zancino I want KFC,Slightly Positive,Satisfied,Unspecified
mhmdlfc yay kfc is a the script fan,Slightly Positive,Satisfied,Unspecified
RT ImNeverChillin KFC Drive ThruMe Lemme get a  piece originalCashier and your sideMe Nah she good fam she just ate,Slightly Positive,Satisfied,Unspecified
RT munchiesvan Happy Happy Easter Guys We are giving away a Free Easter Egg with our next  Barnsley KFC orders placed Online http,Neutral,Satisfied,Unspecified
RT AshtonSOS KFC EMPLOYEE lol This is what I did before sos  xx httptcoYYYxkmKPB,Neutral,Satisfied,Unspecified
RT SOSDaily have any of you heard the story about Ashton working at KFC SecondsOfSummer cool radiodisney sos httptcolKzMc,Neutral,Satisfied,Unspecified
RT isadeleyn HD bdjcnacdab KFC Keith akf I vote for RFamilyR SoFantastic radiodisney,Neutral,Satisfied,Unspecified
explosivepetrol IT SMELLS LIKE KFC I WANT FOOD SORebd,Slightly Positive,Satisfied,Unspecified
Nice KFC to sort me out,Neutral,Satisfied,Unspecified
RT BoukieTV Everyone else is getting chocolate eggs for Easter And then theres me going to KFC ,Slightly Positive,Satisfied,Unspecified
pdotdiamond Have you checked our website out yet  kfc mcds burger king nandos delivery,Neutral,None,Unspecified
Happy Happy Easter Guys We are giving away a Free Easter Egg with our next  Barnsley KFC orders placed Online httptcomHvxkVfxM,Neutral,Satisfied,Unspecified
BoukieTV Did you know that we deliver from places like KFC McDs Burger King amp more,Slightly Positive,Dissatisfied,Unspecified
JeeEsKay Have you checked our website out yet  kfc mcds burger king nandos delivery,Neutral,None,Unspecified
RT worldispicture I have KFC for lunch iloveGlasgow,Slightly Positive,Satisfied,Unspecified
RT ImNeverChillin KFC Drive ThruMe Lemme get a  piece originalCashier and your sideMe Nah she good fam she just ate,Slightly Positive,Satisfied,Unspecified
Lovelypetwear Discovered KFC late in life  cant believe my Mom kept it from me Fed me that homegrown veg and freerange chicken soup,Neutral,Satisfied,Unspecified
Queenchamp kfc all day ,Slightly Positive,Satisfied,Unspecified
Happiness is finding kfc when you go down to find food sadness is that its cold and yeah ,Slightly Positive,Satisfied,Unspecified
RT GrantyOfficial FAV this Tweet if you want me to edit together a video of me jumping in the chicken costume for free KFC got loads of ,Slightly Positive,Satisfied,Unspecified
kfc hotshotsssss shttttttttt,Neutral,Satisfied,Unspecified
RT SOSDaily have any of you heard the story about Ashton working at KFC SecondsOfSummer cool radiodisney sos httptcolKzMc,Neutral,Satisfied,Unspecified
RT ImNeverChillin KFC Drive ThruMe Lemme get a  piece originalCashier and your sideMe Nah she good fam she just ate,Slightly Positive,Satisfied,Unspecified
BarbequeNation and Haldirams feature as chines restaurants on ZomatoHow did they miss KFC and McDonalds,Neutral,Satisfied,Unspecified
RT ImNeverChillin KFC Drive ThruMe Lemme get a  piece originalCashier and your sideMe Nah she good fam she just ate,Slightly Positive,Satisfied,Unspecified
georgiabunce thats like your money for KFC one day after school youll survive,Neutral,Satisfied,Unspecified
RT KPTrill FUCK ALL U RACISTS ASS KENTUCKY FANS FUCK KFC AND THAT WACK ASS CHICKEN IM NO KENTUCKY FAN MemphisTigers,Slightly Negative,Satisfied,Unspecified
RT AshtonSOS KFC EMPLOYEE lol This is what I did before sos  xx httptcoYYYxkmKPB,Neutral,Satisfied,Unspecified
RT TortSusan peta kfc caa Animalsst XNorma CRUELTY in egg industry AnonJackAzzz httptcotFsPdSUK,Neutral,Satisfied,Unspecified
KFC sorted me right out,Slightly Positive,Satisfied,Unspecified
RT cdsx Kfc get in me,Neutral,Satisfied,Unspecified
whats with  the paandar KFC  httptcosAWKFTeP,Neutral,Satisfied,Unspecified
sophiebadman mylesmorris these times I work in KFC  chicken strips and a fanta will do,Neutral,Satisfied,Unspecified
RT SOSDaily have any of you heard the story about Ashton working at KFC SecondsOfSummer cool radiodisney sos httptcolKzMc,Neutral,Satisfied,Unspecified
Meanwhile at KFC in the Philippines httptcobRQeaac,Neutral,Satisfied,Unspecified
im fucking starving kfc pls,Slightly Positive,Satisfied,Unspecified
RT MuratTMT Your shirt says UFC But your body says KFC,Neutral,Satisfied,Unspecified
mylesmorris these times I work in KFC,Neutral,Satisfied,Unspecified
shriya to the avid reader IN THE BEGINNINGS is the story of the original earth its destruction and restoration,Slightly Positive,Excited,Unspecified
RT hahanemba YaGodWhis  When you find out KFC is having a special httptcoCbDpgsvC,Neutral,Satisfied,Unspecified
Kfc again ,Neutral,Satisfied,Unspecified
RT MrLMx Perfect dayMzwabanYedwa No time for cooking KFC will do,Neutral,Satisfied,Unspecified
 with Family at KFC AYani Mega Mall  httpstcobPojyRhBj,Neutral,Satisfied,Unspecified
RT sosTumblr Ashton at the birth of his childDoctor would u like to cut the umbilical cord ash yes omg You know  years ago i ,Neutral,Satisfied,Unspecified
AshtonSOS I went to KFC today,Neutral,Satisfied,Unspecified
When I was  years old I had  jobs My son has a  chance of getting a job in KFC with  A levels and  GSE passes Vote UKIP,Neutral,Happy,Unspecified
woah first time KFC got much more people then MAC  xx,Slightly Positive,Satisfied,Unspecified
 with MAFOS at KFC pic  httpstcoSWhemLhCf,Neutral,Satisfied,Unspecified
ARTIQA Im craving for KFC ,Slightly Positive,Satisfied,Unspecified
Cuddling it away RT MrLMx Perfect dayMzwabanYedwa No time for cooking KFC will do,Neutral,Satisfied,Unspecified
RT KPTrill FUCK ALL U RACISTS ASS KENTUCKY FANS FUCK KFC AND THAT WACK ASS CHICKEN IM NO KENTUCKY FAN MemphisTigers,Slightly Negative,Satisfied,Unspecified
RT elainegallo Throwback st sem KFC Dapitan  MicaSaysMeow esquilloagatha  vinchhhh JohnGoRegalado mynamesjm imbrianzepeda htt,Neutral,Satisfied,Unspecified
RT ARTIQA U and Yr kfc ,Neutral,Satisfied,Unspecified
Tmr going lot for kfc  break nigga to ,Neutral,Satisfied,Unspecified
Oh shit KFC markskillz When I was younger I thought charlie boy was a human being,Slightly Positive,Satisfied,Unspecified
verniceee i didnt eat kfc eversince we started eating at heavenly wang holy shit thats so long HAHA,Slightly Positive,Satisfied,Unspecified
HBDAkbarKusumath KFC or McD ,Neutral,Satisfied,Unspecified
RT shahiraHazwani cheeseee meleleh thats why i love kfc  httptcoVzSGnyxeek,Slightly Positive,Satisfied,Unspecified
ellenaj wow like a kfc So good Hahaha Lol i miss you too Im goin to school tomo,Slightly Positive,Satisfied,Unspecified
I want kfC,Slightly Positive,Satisfied,Unspecified
I liked a YouTube video from ksiolajidebt httptcoteRwMeXAO KFC COMPETITION WINNERS,Slightly Positive,Satisfied,Unspecified
RT oshselu Please eat at Kais Fried Chicken aka KFC httptcokfMPzzEP,Neutral,Satisfied,Unspecified
Familytime at kfccoffe rumbai  httpstcoFjlMwnEA,Neutral,Satisfied,Unspecified
cheeseee meleleh thats why i love kfc  httptcoVzSGnyxeek,Slightly Positive,Satisfied,Unspecified
RT AshtonSOS KFC EMPLOYEE lol This is what I did before sos  xx httptcoYYYxkmKPB,Neutral,Satisfied,Unspecified
I want kFc,Slightly Positive,Satisfied,Unspecified
voodoostyles we can go for kfcmaybe,Slightly Positive,Satisfied,Unspecified
Perfect dayMzwabanYedwa No time for cooking KFC will do,Neutral,Satisfied,Unspecified
I want Kfc,Slightly Positive,Satisfied,Unspecified
sAlshaikhc I didnt eat kfc for  weeks ,Slightly Positive,Satisfied,Unspecified
Me and Jake eat that much kfc think Im gonna turn into a chicken ,Slightly Positive,Satisfied,Unspecified
I want KFC,Slightly Positive,Satisfied,Unspecified
No time for cooking KFC will do,Neutral,Satisfied,Unspecified
RT molonlabe ihatematt NSFW Hackers Hit KFC Rig TVs To Broadcast Hardcore Porn httptcooZfchSpACE,Neutral,Satisfied,Unspecified
RT FUCKMlKEY theres a kfc about  minutes from here but it burnt down earlier ,Slightly Positive,Satisfied,Unspecified
RT FUCKMlKEY theres a kfc about  minutes from here but it burnt down earlier ,Slightly Positive,Satisfied,Unspecified
kfc Please please please follow AnitaAslanXOXO shes a big fan of yours She eats at KFC twice a week deication deservesafollow,Neutral,Happy,Unspecified
RT FUCKMlKEY theres a kfc about  minutes from here but it burnt down earlier ,Slightly Positive,Satisfied,Unspecified
RT FUCKMlKEY theres a kfc about  minutes from here but it burnt down earlier ,Slightly Positive,Satisfied,Unspecified
RT FUCKMlKEY theres a kfc about  minutes from here but it burnt down earlier ,Slightly Positive,Satisfied,Unspecified
RT FUCKMlKEY theres a kfc about  minutes from here but it burnt down earlier ,Slightly Positive,Satisfied,Unspecified
RT FUCKMlKEY theres a kfc about  minutes from here but it burnt down earlier ,Slightly Positive,Satisfied,Unspecified
RT FUCKMlKEY theres a kfc about  minutes from here but it burnt down earlier ,Slightly Positive,Satisfied,Unspecified
RT FUCKMlKEY theres a kfc about  minutes from here but it burnt down earlier ,Slightly Positive,Satisfied,Unspecified
RT SOSDaily have any of you heard the story about Ashton working at KFC SecondsOfSummer cool radiodisney sos httptcolKzMc,Neutral,Satisfied,Unspecified
RT FUCKMlKEY theres a kfc about  minutes from here but it burnt down earlier ,Slightly Positive,Satisfied,Unspecified
RT FUCKMlKEY theres a kfc about  minutes from here but it burnt down earlier ,Slightly Positive,Satisfied,Unspecified
RT FUCKMlKEY theres a kfc about  minutes from here but it burnt down earlier ,Slightly Positive,Satisfied,Unspecified
Day off KFC Wit h my Lovely httpstcooObkDftQ,Neutral,Satisfied,Unspecified
Someone drop us off a KFC and a new head Nice swan,Slightly Positive,Satisfied,Unspecified
RT missskye Im single and sad kitStained shirt that makes you look fatAlcohol  LotsLargest bucket of kfcDrink and eat your,Neutral,Satisfied,Unspecified
Everyone else is getting chocolate eggs for Easter And then theres me going to KFC ,Slightly Positive,Satisfied,Unspecified
RT SOSDaily have any of you heard the story about Ashton working at KFC SecondsOfSummer cool radiodisney sos httptcolKzMc,Neutral,Satisfied,Unspecified
I have KFC for lunch iloveGlasgow,Slightly Positive,Satisfied,Unspecified
Please eat at Kais Fried Chicken aka KFC httptcokfMPzzEP,Neutral,Satisfied,Unspecified
I want kfc,Slightly Positive,Satisfied,Unspecified
Anyone know if bodmin kfc is open today,Neutral,Satisfied,Unspecified
AND BABY IF YOU SAY YOU WANT ME TO DRIVE TO KFC,Neutral,Satisfied,Unspecified
only on my dads side do we get kfc for an Easter dinner,Slightly Positive,Satisfied,Unspecified
Take away  KFC TESCO LAGENDA HEIGHT httpstcoEBOojIxo,Neutral,Satisfied,Unspecified
Bribed my dad to go get me a KFC Hes a goodn,Slightly Positive,Satisfied,Unspecified
RT BoysOnTheBlock  reasons why we love KFC  Kentuckys Finest Cousins  KevinRichardson amp BrianLittrell BackstreetBoys httpt,Neutral,Satisfied,Unspecified
Jesus would be spending today in his pants watching Super Sunday smoking a spliff and tucking into a KFC family bucket that he ,Slightly Positive,Satisfied,Unspecified
Celebrating Easter Sunday by taking Ella for a traditional KFC dinner,Slightly Positive,Satisfied,Unspecified
Need this KFC,Slightly Positive,Satisfied,Unspecified
Going to turn my boyfriend into a good food lover Hell forget all about that KFC lifestyle ,Slightly Positive,Satisfied,Unspecified
Fucking ridiculous theres even a mini KFC one,Slightly Positive,Satisfied,Unspecified
Taco bell Wendys amp KFC are my new regular fast food spots,Slightly Positive,Satisfied,Unspecified
LiiaShannon  or one slice of pizza and kfc chips ,Neutral,Happy,Unspecified
RT SOSDaily have any of you heard the story about Ashton working at KFC SecondsOfSummer cool radiodisney sos httptcolKzMc,Neutral,Satisfied,Unspecified
RT AshtonSOS KFC EMPLOYEE lol This is what I did before sos  xx httptcoYYYxkmKPB,Neutral,Satisfied,Unspecified
RT SOSDaily have any of you heard the story about Ashton working at KFC SecondsOfSummer cool radiodisney sos httptcolKzMc,Neutral,Satisfied,Unspecified
Didnt stop me from walking to kfc tho,Slightly Positive,Satisfied,Unspecified
RT ThesosLocator KFC tweeted Ashton im dying TheyreTheOne SecondsOfSummer radiodisney httptcowzDxnHHNF,Neutral,Satisfied,Unspecified
I liked a YouTube video from comedygamer httptcoBLcPcUEr Eating  Pieces Of KFC Chicken,Slightly Positive,Satisfied,Unspecified
I just checked in kfc with mPLACES  Download today  httptcoYXURQyxH,Neutral,Satisfied,Unspecified
RT AshtonSOS KFC EMPLOYEE lol This is what I did before sos  xx httptcoYYYxkmKPB,Neutral,Satisfied,Unspecified
LewisPettitt dont lie i saw you at kfc in Erith,Neutral,Satisfied,Unspecified
That KFC went down a treat,Neutral,Satisfied,Unspecified
RT ThesosLocator KFC tweeted Ashton im dying TheyreTheOne SecondsOfSummer radiodisney httptcowzDxnHHNF,Neutral,Satisfied,Unspecified
RT SOSDaily have any of you heard the story about Ashton working at KFC SecondsOfSummer cool radiodisney sos httptcolKzMc,Neutral,Satisfied,Unspecified
SOSDaily have any of you heard the story about Ashton working at KFCSecondsOfSummer cool radiodisney sos httptcoDOZLLG,Neutral,Satisfied,Unspecified
RT TortSusan peta kfc caa Animalsst XNorma CRUELTY in egg industry AnonJackAzzz httptcotFsPdSUK,Neutral,Satisfied,Unspecified
RT kfccanada Sit down and relax Weve got dinner covered Order our FamilyFillUp at httptcooaIReMtK MomWin httptcoUHGWrb,Neutral,Satisfied,Unspecified
RT SOSDaily have any of you heard the story about Ashton working at KFC SecondsOfSummer cool radiodisney sos httptcolKzMc,Neutral,Satisfied,Unspecified
RT sosTumblr Ashton at the birth of his childDoctor would u like to cut the umbilical cord ash yes omg You know  years ago i ,Neutral,Satisfied,Unspecified
SisiSasha take him to gateway to do carting there then mfake kumagames because I think the kfc family what what iphelile lapho eballito,Neutral,Satisfied,Unspecified
RT hotsexporn Bra off Hair up Panties Down httptcoXXNbUBc,Neutral,Satisfied,Unspecified
MattCBY NRLBulldogsFans jimmywheelz DaveSmithNRL sharkavenger KFC said it was ok Shame all their calls are greasy,Slightly Positive,Satisfied,Unspecified
laurennplumer Im that person thatll have a Nandos then two hours later want a Kfc real talk fam real talk,Slightly Positive,Happy,Unspecified
RT SOSDaily have any of you heard the story about Ashton working at KFC SecondsOfSummer cool radiodisney sos httptcolKzMc,Neutral,Satisfied,Unspecified
I hate KFC,Slightly Positive,Satisfied,Unspecified
RT SOSDaily have any of you heard the story about Ashton working at KFC SecondsOfSummer cool radiodisney sos httptcolKzMc,Neutral,Satisfied,Unspecified
RT ImNeverChillin KFC Drive ThruMe Lemme get a  piece originalCashier and your sideMe Nah she good fam she just ate,Slightly Positive,Satisfied,Unspecified
RT FUCKMlKEY theres a kfc about  minutes from here but it burnt down earlier ,Slightly Positive,Satisfied,Unspecified
RT RobCabrera RinaBina Should I get BK and KFC gtYour metabolism is still on your side Do it,Slightly Positive,Satisfied,Unspecified
AmarielleEU dexbonus HappiLeeErin Sleeping is nice  Poor fellow havent had his KFC yet I am the bad one now,Slightly Positive,Satisfied,Unspecified
Yous up and running yet Ive been back about a hour had a KFC and in bed P RossKewley,Neutral,Satisfied,Unspecified
RT AshtonSOS KFC EMPLOYEE lol This is what I did before sos  xx httptcoYYYxkmKPB,Neutral,Satisfied,Unspecified
I dont like Kfc per say but their virgin mojito krusher is nice,Neutral,Satisfied,Unspecified
With Muhammad at KFC Dago  httpstcozdbBQEPP,Neutral,Satisfied,Unspecified
Dinner at kfc,Neutral,Satisfied,Unspecified
Louisville Atlanta Dream Classic Fever vs Sun amp Dream vs Mystic at KFC Yum Center  May   Find Tickets httptcoWDAUXkBOYp,Slightly Positive,Satisfied,Unspecified
RT SOSDaily have any of you heard the story about Ashton working at KFC SecondsOfSummer cool radiodisney sos httptcolKzMc,Neutral,Satisfied,Unspecified
MichaelSOS Howd we drift so far away years ago Ashton was working at KFC,Neutral,Satisfied,Unspecified
suppose to get my kfc now,Neutral,Satisfied,Unspecified
Im that person thatll have a Nandos then two hours later want a Kfc,Slightly Positive,Happy,Unspecified
RT yelyahkewei Craving for KFC,Slightly Positive,Satisfied,Unspecified
Colins a good un bringing us a massive scran of KFC ,Slightly Positive,Satisfied,Unspecified
RT LikeASir KFC has closed down in St Vincent  Trinis cant survive here,Slightly Positive,Satisfied,Unspecified
Some ppl will never drink juice in dia house but will go to KFC and buy it more expensive and still remain it SMH,Neutral,Satisfied,Unspecified
RT RainbowDatAss Noorathepotato kfcarabia I mean god put KFC In this world for a reason and its being used usefullygettingEmotional,Slightly Positive,Satisfied,Unspecified
RinaBina Should I get BK and KFC gtYour metabolism is still on your side Do it,Slightly Positive,Satisfied,Unspecified
RT DedeMld  KFC  Mcdo  Grec  Quick ,Neutral,Satisfied,Unspecified
FabianIrons xxbiancarosexx KFC sesh  Fab youve seen what state I allow myself to get in born and die a professional sesher,Slightly Positive,Satisfied,Unspecified
theres a kfc about  minutes from here but it burnt down earlier ,Slightly Positive,Satisfied,Unspecified
Love the features of my new iPhone iPhone axe wood kfc boy slomo httpstcoJOsANpPG,Neutral,Satisfied,Unspecified
xxbiancarosexx BradBanks your both beginners Im the sesh master amp when I say that I mean a KFC sesh L,Neutral,Satisfied,Unspecified
